family_income,one_children,two_children,three_children,four_children,five_children
40000,3758,6540,9322,12104,14886
41000,3725,6507,9289,12071,14853
50000,3365,6147,8929,11711,14493
60000,2965,5747,8529,11311,14093
70000,2565,5347,8129,10911,13693
80000,2165,4947,7729,10511,13293
90000,1765,4547,7329,10111,12893
97000,1496,4267,7049,9831,12613
110000,1496,3747,6529,9311,12093
120000,1496,3347,6129,8911,11693
130000,1496,2947,5729,8511,11293
139000,1496,2603,5369,8151,10933
150000,1496,2603,4929,7711,10493
160000,1496,2603,4529,7311,10093
170000,1496,2603,4129,6911,9623
181000,1496,2603,3710,6471,9253
190000,1496,2603,3710,6111,8893
200000,1496,2603,3710,5711,8493
210000,1496,2603,3710,5311,8093
223000,1496,2603,3710,4817,7573
230000,1496,2603,3710,4817,7293
240000,1496,2603,3710,4817,6893
250000,1496,2603,3710,4817,6493